date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:25:00	5871/5871	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2016:27:22%20GMT	https://smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVNTSWhialJ3T0RaamRUazJiWEZpWlRkdlluQnNOV3QwZEhoM2VHbDVhd1k2QmtWVU9oQmthWE53YjNOcGRHbHZia2tpWDJsdWJHbHVaVHNnWm1sc1pXNWhiV1U5SWxOMVltMXBjM05wYjI0Z1IzVnBaR1ZzYVc1bGN5NXdibWNpT3lCbWFXeGxibUZ0WlNvOVZWUkdMVGduSjFOMVltMXBjM05wYjI0bE1qQkhkV2xrWld4cGJtVnpMbkJ1WndZN0JsUTZFV052Ym5SbGJuUmZkSGx3WlVraURtbHRZV2RsTDNCdVp3WTdCbFE2RVhObGNuWnBZMlZmYm1GdFpUb0tiRzlqWVd3PSIsImV4cCI6IjIwMjQtMTAtMDNUMjM6Mjk6NTkuMDk1WiIsInB1ciI6ImJsb2Jfa2V5In19--1573e0e6aba59e443166b14cba34f5b6fb788c57/Submission%20Guidelines.png	smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVN/Submission%20Guidelines.png_;%20filename_=UTF-8''Submission%20Guidelines.png	(from https://smashcamp.xyz/days/1)
23:25:01	652/652	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202024%2023:25:01%20GMT	https://smashcamp.xyz/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZW89IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--70162989ee44bde41bba5a2fb0d843b4c9f2890a/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RkhKbGMybDZaVjkwYjE5c2FXMXBkRnNIYVFJQUJHa0NBQU09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--fcfb9d7575bf2dda022feb7ff1fa8721e8023847/Submission%20Guidelines.png	smashcamp.xyz/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZW89IiwiZXh/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJ/Submission%20Guidelines.png	(from https://smashcamp.xyz/days/1)
23:25:02	6341/6341	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2016:27:47%20GMT	https://smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVNTSWhPR296YUd0bmVYVjRiR0ppWnpWNE16SnZjbkZzYlRsb2JuaHpaQVk2QmtWVU9oQmthWE53YjNOcGRHbHZia2tpWDJsdWJHbHVaVHNnWm1sc1pXNWhiV1U5SWxOMVltMXBjM05wYjI0Z1IzVnBaR1ZzYVc1bGN5NXdibWNpT3lCbWFXeGxibUZ0WlNvOVZWUkdMVGduSjFOMVltMXBjM05wYjI0bE1qQkhkV2xrWld4cGJtVnpMbkJ1WndZN0JsUTZFV052Ym5SbGJuUmZkSGx3WlVraURtbHRZV2RsTDNCdVp3WTdCbFE2RVhObGNuWnBZMlZmYm1GdFpUb0tiRzlqWVd3PSIsImV4cCI6IjIwMjQtMTAtMDNUMjM6MzA6MDEuMDU5WiIsInB1ciI6ImJsb2Jfa2V5In19--49fdda11361f94a22c01c034fe491b361a69ce2d/Submission%20Guidelines.png	smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVN/Submission%20Guidelines.png_;%20filename_=UTF-8''Submission%20Guidelines-2.png	(from https://smashcamp.xyz/days/1)
23:25:03	632/632	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202024%2023:25:03%20GMT	https://smashcamp.xyz/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZTQ9IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--10d5dcc659e07d1ad521283750c61a398023c2b2/Todays%20Activities.png	smashcamp.xyz/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZTQ9IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--10d5dcc659e07d1ad521283750c61a398023c2b2/Todays%20Activities.png	(from https://smashcamp.xyz/days/1)
23:25:04	7318/7318	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2017:00:57%20GMT	https://smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVNTSWhlblE0ZEdFeU56a3pibVoyT1hka1pEWndjVzkzT1RoNGRYUTNhQVk2QmtWVU9oQmthWE53YjNOcGRHbHZia2tpVjJsdWJHbHVaVHNnWm1sc1pXNWhiV1U5SWxSdlpHRjVjeUJCWTNScGRtbDBhV1Z6TG5CdVp5STdJR1pwYkdWdVlXMWxLajFWVkVZdE9DY25WRzlrWVhsekpUSXdRV04wYVhacGRHbGxjeTV3Ym1jR093WlVPaEZqYjI1MFpXNTBYM1I1Y0dWSklnNXBiV0ZuWlM5d2JtY0dPd1pVT2hGelpYSjJhV05sWDI1aGJXVTZDbXh2WTJGcyIsImV4cCI6IjIwMjQtMTAtMDNUMjM6MzA6MDMuMDQ1WiIsInB1ciI6ImJsb2Jfa2V5In19--1106119262284dbb1b33ec747fc70758f02479ef/Todays%20Activities.png	smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVN/Todays%20Activities.png_;%20filename_=UTF-8''Todays%20Activities.png	(from https://smashcamp.xyz/days/1)
23:25:05	632/632	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202024%2023:25:05%20GMT	https://smashcamp.xyz/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZTQ9IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--10d5dcc659e07d1ad521283750c61a398023c2b2/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RkhKbGMybDZaVjkwYjE5c2FXMXBkRnNIYVFJQUJHa0NBQU09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--fcfb9d7575bf2dda022feb7ff1fa8721e8023847/Todays%20Activities.png	smashcamp.xyz/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZTQ9IiwiZXh/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJ/Todays%20Activities.png	(from https://smashcamp.xyz/days/1)
23:25:06	7740/7740	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2017:01:07%20GMT	https://smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVNTSWhZak5sWldKcU56WjNZV3N6TTJremNtUjBibVpqTlRjeGVEQnJkZ1k2QmtWVU9oQmthWE53YjNOcGRHbHZia2tpVjJsdWJHbHVaVHNnWm1sc1pXNWhiV1U5SWxSdlpHRjVjeUJCWTNScGRtbDBhV1Z6TG5CdVp5STdJR1pwYkdWdVlXMWxLajFWVkVZdE9DY25WRzlrWVhsekpUSXdRV04wYVhacGRHbGxjeTV3Ym1jR093WlVPaEZqYjI1MFpXNTBYM1I1Y0dWSklnNXBiV0ZuWlM5d2JtY0dPd1pVT2hGelpYSjJhV05sWDI1aGJXVTZDbXh2WTJGcyIsImV4cCI6IjIwMjQtMTAtMDNUMjM6MzA6MDUuMDY2WiIsInB1ciI6ImJsb2Jfa2V5In19--53aa4e6675faa18c42a6ee9553261e94b0e1f40b/Todays%20Activities.png	smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVN/Todays%20Activities.png_;%20filename_=UTF-8''Todays%20Activities-2.png	(from https://smashcamp.xyz/days/1)
23:25:07	569/569	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202024%2023:25:07%20GMT	https://smashcamp.xyz/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZDQ9IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--01952dd2d737185b4ccbff1e833c61d6a0f8a6ed/urdl.png	smashcamp.xyz/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZDQ9IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--01952dd2d737185b4ccbff1e833c61d6a0f8a6ed/urdl.png	(from https://smashcamp.xyz/days/1)
23:25:08	17382/17382	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2016:04:43%20GMT	https://smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVNTSWhPRzQwWjJkNFpHbzNaWEV6WldWME9HZGtabkoxTjNVd2JUY3pkZ1k2QmtWVU9oQmthWE53YjNOcGRHbHZia2tpTzJsdWJHbHVaVHNnWm1sc1pXNWhiV1U5SW5WeVpHd3VjRzVuSWpzZ1ptbHNaVzVoYldVcVBWVlVSaTA0SnlkMWNtUnNMbkJ1WndZN0JsUTZFV052Ym5SbGJuUmZkSGx3WlVraURtbHRZV2RsTDNCdVp3WTdCbFE2RVhObGNuWnBZMlZmYm1GdFpUb0tiRzlqWVd3PSIsImV4cCI6IjIwMjQtMTAtMDNUMjM6MzA6MDcuMDI3WiIsInB1ciI6ImJsb2Jfa2V5In19--e5078b2ec73462525470d7b5e30b14ff0f33c199/urdl.png	smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVN/urdl.png_;%20filename_=UTF-8''urdl.png	(from https://smashcamp.xyz/days/1)
23:25:09	569/569	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202024%2023:25:09%20GMT	https://smashcamp.xyz/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZDQ9IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--01952dd2d737185b4ccbff1e833c61d6a0f8a6ed/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RkhKbGMybDZaVjkwYjE5c2FXMXBkRnNIYVFJQUJHa0NBQU09IiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--fcfb9d7575bf2dda022feb7ff1fa8721e8023847/urdl.png	smashcamp.xyz/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZDQ9IiwiZXh/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJ/urdl.png	(from https://smashcamp.xyz/days/1)
23:25:10	17507/17507	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2016:20:38%20GMT	https://smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVNTSWhOamRrT0hCbWJtMWlOV2hsZW1SdmREZHVZVzU0Y21kMU1YTTRNQVk2QmtWVU9oQmthWE53YjNOcGRHbHZia2tpTzJsdWJHbHVaVHNnWm1sc1pXNWhiV1U5SW5WeVpHd3VjRzVuSWpzZ1ptbHNaVzVoYldVcVBWVlVSaTA0SnlkMWNtUnNMbkJ1WndZN0JsUTZFV052Ym5SbGJuUmZkSGx3WlVraURtbHRZV2RsTDNCdVp3WTdCbFE2RVhObGNuWnBZMlZmYm1GdFpUb0tiRzlqWVd3PSIsImV4cCI6IjIwMjQtMTAtMDNUMjM6MzA6MDkuMTMyWiIsInB1ciI6ImJsb2Jfa2V5In19--7b47ff63ec7ac314fbcc9553940238a8e4c7a81e/urdl.png	smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVN/urdl.png_;%20filename_=UTF-8''urdl-2.png	(from https://smashcamp.xyz/days/1)
23:25:11	599/599	---MC-	302	error ('Found')	text/html	date:Thu,%2003%20Oct%202024%2023:25:11%20GMT	https://smashcamp.xyz/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZHc9IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--664ac5b99743934d824da11cdc4e6b2ab38aaff2/crazyflips.png	smashcamp.xyz/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZHc9IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--664ac5b99743934d824da11cdc4e6b2ab38aaff2/crazyflips.png	(from https://smashcamp.xyz/days/1)
23:25:13	96403/96403	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Jun%202023%2015:48:24%20GMT	https://smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVNTSWhOR1Z0TnpRNE1HRjNPSFo2ZGpBMk1XWTFabTluWkhsb00yeGpjUVk2QmtWVU9oQmthWE53YjNOcGRHbHZia2tpUjJsdWJHbHVaVHNnWm1sc1pXNWhiV1U5SW1OeVlYcDVabXhwY0hNdWNHNW5JanNnWm1sc1pXNWhiV1VxUFZWVVJpMDRKeWRqY21GNmVXWnNhWEJ6TG5CdVp3WTdCbFE2RVdOdmJuUmxiblJmZEhsd1pVa2lEbWx0WVdkbEwzQnVad1k3QmxRNkVYTmxjblpwWTJWZmJtRnRaVG9LYkc5allXdz0iLCJleHAiOiIyMDI0LTEwLTAzVDIzOjMwOjExLjEyM1oiLCJwdXIiOiJibG9iX2tleSJ9fQ==--d2cc0d8f36005a681dda4ae0a739aa726873587f/crazyflips.png	smashcamp.xyz/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVN/crazyflips.png_;%20filename_=UTF-8''crazyflips.png	(from https://smashcamp.xyz/days/1)
